s,Pc
1028.0,0.16034
1029.0,0.16034
1030.0,0.16034
1031.0,0.16034
1032.0,0.16034
1033.0,0.16034
1034.0,0.16034
1035.0,0.16034
1036.0,0.16034
1037.0,0.16034
1038.0,0.16034
1039.0,0.16034
1040.0,0.16034
1041.0,0.16034
1042.0,0.16034
1043.0,0.16034
1044.0,0.16034
1045.0,0.16034
1046.0,0.16034
1047.0,0.16034
1048.0,0.16034
1049.0,0.16034
1050.0,0.16034
1051.0,0.16034
1052.0,0.16034
1053.0,0.16034
1054.0,0.16034
1055.0,0.16034
1056.0,0.16034
1057.0,0.16034
1058.0,0.16034
1059.0,0.16034
1060.0,0.16034
1061.0,0.16034
1062.0,0.16034
1063.0,0.16034
1064.0,0.16034
1065.0,0.16034
1066.0,0.16034
1067.0,0.16034
1068.0,0.16034
1069.0,0.16034
1070.0,0.16034
1071.0,0.16034
1072.0,0.16034
1073.0,0.16034
1074.0,0.16034
1075.0,0.16034
1076.0,0.16034
1077.0,0.16034
1078.0,0.16034
1079.0,0.16034
1080.0,0.16034
1081.0,0.16034
1082.0,0.16034
1083.0,0.16034
1084.0,0.16034
1085.0,0.16034
1086.0,0.16034
1087.0,0.16034
1088.0,0.16034
1089.0,0.16034
1090.0,0.16034
1091.0,0.16034
1092.0,0.16034
1093.0,0.16034
1094.0,0.16034
1095.0,0.16034
1096.0,0.16034
1097.0,0.16034
1098.0,0.16034
1099.0,0.16034
1100.0,0.16034
1101.0,0.16034
1102.0,0.16034
1103.0,0.16034
1104.0,0.16034
1105.0,0.16034
1106.0,0.16034
1107.0,0.16034
1108.0,0.16034
1109.0,0.16034
1110.0,0.16034
1111.0,0.16034
1112.0,0.16034
1113.0,0.16034
1114.0,0.16034
1115.0,0.16034
1116.0,0.16034
1117.0,0.16034
1118.0,0.16034
1119.0,0.16034
1120.0,0.16034
1121.0,0.16034
1122.0,0.16034
1123.0,0.16034
1124.0,0.16034
1125.0,0.16034
1126.0,0.16034
1127.0,0.16034
1128.0,0.16034
1129.0,0.16034
1130.0,0.16034
1131.0,0.16034
1132.0,0.16034
1133.0,0.16034
1134.0,0.16034
1135.0,0.16034
1136.0,0.16034
1137.0,0.16034
1138.0,0.16034
1139.0,0.16034
1140.0,0.16034
1141.0,0.16034
1142.0,0.16034
1143.0,0.16034
1144.0,0.16034
1145.0,0.16034
1146.0,0.16034
1147.0,0.16034
1148.0,0.16034
1149.0,0.16034
1150.0,0.16034
1151.0,0.16034
1152.0,0.16034
1153.0,0.16034
1154.0,0.16034
1155.0,0.16034
1156.0,0.16034
1157.0,0.16034
1158.0,0.16034
